Date,Open,High,Low,Close,Volume,Trend,Nextdaytrend
170907,263.53,264.9,262.3,262.91,2198559,0,1
140907,261.86,265.4,261.37,264.64,2765340,1,1
130907,262.29,263.87,261.87,262.65,1892758,1,1
120907,260.53,264.25,259.76,261.59,2986903,1,1
110907,258.75,261.09,258.12,260.93,2704265,1,0
100907,260.9,261.3,255.7,257.5,3226721,0,1
70907,259.19,260.88,258.66,259.93,3663641,1,0
60907,264.94,265.18,259.38,262.02,3634263,0,1
50907,261.96,265,261.39,264.16,3314006,1,1
40907,257.77,264.26,257.57,262.84,3696830,1,1
310807,256.81,258.51,255.99,257.88,2977506,1,0
300807,256.44,257.96,255.54,255.96,2653547,0,1
290807,254.17,256.91,253.87,256.7,2550539,1,0
280807,256.02,257.75,253.15,253.45,3275023,0,0
270807,257.47,258.98,255.96,256.89,2325049,0,1
240807,256.56,258.03,254.5,257.76,2472653,1,0
230807,258.26,258.32,253.75,256.35,3077240,0,1
220807,255.23,258.38,254.88,256.63,3255994,1,1
210807,249.72,254.33,249.13,253.56,3618508,1,0
200807,251.48,251.53,248.25,249.21,2698225,0,1
170807,248.97,250.75,246.07,250.27,5481730,1,0
160807,246.26,248.46,240.47,246.01,8645559,0,0
150807,254.75,256.1,248.6,249.02,5409677,0,0
140807,258.12,258.96,254.25,254.55,3634035,0,0
130807,260.03,260.13,256.77,258.01,3179214,0,1
100807,255.35,259.62,253.07,258.13,5884448,1,0
90807,260.66,263.67,257.57,257.62,4849116,0,1
80807,259.93,263.15,258.8,263.15,4068931,1,1
70807,255.13,260.2,254.77,258.27,4267391,1,1
60807,251.75,255.33,251.5,255.25,3651924,1,0
30807,255.28,256.86,251.75,251.75,3176102,0,0
20807,257.12,257.75,254.75,255.76,3156501,0,1
10807,255.51,258.51,254.32,256.73,4428166,1,0
310707,260.38,260.48,255.25,255.25,4270981,0,1
300707,256.72,259.93,255.51,258.31,3967248,1,1
270707,254.52,258.57,253,256.2,5472989,1,0
260707,254.62,256.55,249.69,254.25,6894330,0,0
250707,258.75,258.77,253.03,255.13,5556426,0,1
240707,254.9,259.6,253.81,257.26,5741426,1,0
230707,259.76,260.26,256.33,256.51,6356603,0,1
200707,256.21,261.85,255,260.32,17773613,1,0
190707,277.01,277.04,271.39,274.57,11127140,0,0
180707,277.22,277.53,272.18,275.02,6084148,0,0
170707,277.8,279.14,276.47,277.78,4331404,0,1
160707,275.43,279.57,274.93,276.77,6601545,1,1
130707,274.23,276.61,273.9,276.36,5237139,1,0
120707,273.2,273.93,270.38,272.94,3443154,0,1
110707,272.08,273.52,270.28,272.51,3311848,1,0
100707,272.17,273.77,271.1,271.94,3856200,0,0
90707,271.77,274.64,270.4,271.55,3731529,0,0
60707,270.9,272.21,269.63,269.97,2747044,0,1
50707,268.05,272.47,266.34,271.09,4943783,1,1
30707,265.8,267.47,264.01,267.44,1871795,1,1
20707,263.01,266.19,262.36,265.46,3496531,1,0
290607,263.27,263.96,259.99,261.61,3881004,0,1
280607,262.7,265.01,262.16,262.77,4174304,1,1
270607,262.76,264.26,260.04,263.41,6126644,1,0
260607,266.63,266.87,263.38,265.4,5690466,0,0
250607,264.75,267.76,261.95,263.97,7926891,0,1
220607,258.47,262.76,258.31,262.75,7287906,1,1
210607,255.75,257.9,253.39,257.31,4410593,1,0
200607,258.74,259.63,254.78,255.24,4340703,0,1
190607,257.26,258.88,256.03,257.41,4384299,1,1
180607,253.34,258.26,252.37,257.86,4844965,1,0
150607,254.35,254.75,250.87,253.2,6174369,0,0
140607,252.94,253.19,251.1,251.67,4624604,0,0
130607,253.8,254.52,249.59,252.87,7042609,0,0
120607,254.61,256.09,251.84,252.64,6423044,0,0
110607,257.27,259.38,255.25,255.93,4654821,0,0
80607,258.36,260.08,254.98,258,6360840,0,0
70607,260.13,263.51,256.51,257.79,10641285,0,1
60607,258.63,260.65,257.89,259.38,7899928,1,1
50607,255.13,259.76,253.56,259.68,10459611,1,1
40607,249.2,255.51,249.04,253.79,7103954,1,0
10607,250.75,252.76,249.21,250.45,4806053,0,0
310507,250.53,254.64,248.78,249.2,8927564,0,1
300507,242.49,249.67,241.74,249.55,7299636,1,1
290507,242.74,246.15,242.24,243.8,5221872,1,1
250507,240.09,242.72,238.87,242,5348571,1,0
240507,237.81,239.84,235.99,237.4,4200474,0,0
230507,240.65,241.95,237.11,237.22,5086490,0,1
220507,236.74,239.74,236.74,238.17,3840233,1,1
210507,235,239.84,233.59,235.54,6168614,1,0
180507,236.25,236.59,235.11,235.4,3696999,0,0
170507,236.47,237.85,235.64,235.72,4667201,0,1
160507,231.23,236.81,229.74,236.54,6563239,1,0
150507,231.21,231.5,228.93,229.23,4119544,0,0
140507,232.97,233.99,230.23,231.12,3873493,0,1
110507,231.15,233.73,230.73,233.6,2940516,1,0
100507,233.75,234.98,230.74,230.97,3691513,0,1
90507,233.31,236.1,232.17,234.86,3892236,1,1
80507,233.3,234.32,232.6,233.64,2908622,1,0
70507,236.31,236.65,233.47,233.87,3022311,0,1
40507,235.3,237.66,233.17,235.8,3951718,1,1
30507,233.34,237.27,232.88,236.85,3596694,1,0
20507,234.56,235.78,233.1,233.12,3080494,0,0
10507,236.33,236.64,232.32,234.73,3658854,0,0
300407,239.81,240.92,235.93,235.93,3645852,0,0
270407,240.28,241.44,239.4,239.74,2927221,0,1
260407,239.29,242.47,238.79,240.83,4132037,1,0
250407,240.24,240.93,238.29,239.23,3972723,0,0
240407,239.54,240.23,238.01,239,3699323,0,0
230407,240.29,242.74,239.37,239.78,5679371,0,0
200407,245.51,246.5,241.25,241.48,12223144,0,0
190407,237.49,241.22,235.03,236.06,11225221,0,1
180407,235.87,240.19,235,238.24,5672972,1,0
170407,237.14,238.43,236.04,236.64,3216071,0,1
160407,234.46,238.73,234.31,237.37,5080883,1,0
130407,234.46,234.62,231.91,233.38,2799340,0,1
120407,232.23,234.23,231.35,233.93,2711803,1,0
110407,233.26,234.93,231.54,232.5,3824385,0,0
100407,233.78,235.63,232.81,233.48,2979518,0,0
90407,236.73,236.74,233.03,234.34,3063964,0,1
50407,235.89,236.28,235.04,235.99,2716305,1,0
40407,236.31,236.74,235.02,235.75,3779646,0,1
30407,232.26,237.36,232.23,236.54,6518088,1,1
20407,229.11,229.49,226.29,229.49,3448632,1,0
300307,231.28,231.93,228.3,229.31,3380552,0,0
290307,232.51,233.23,227.73,230.69,3989119,0,0
280307,231.17,232.95,230.31,231.17,4641156,0,1
270307,232.01,232.85,230.4,232.04,3742166,1,1
260307,230.51,232.73,228.04,232.73,4711009,1,1
230307,230.96,231.93,228.77,231.15,4114854,1,1
220307,228.03,231.32,226.49,231.25,5727728,1,1
210307,222.87,228.51,222.83,228.5,5801900,1,0
200307,223.12,224.02,222.02,222.86,3422340,0,1
190307,221.85,224.47,220.54,223.84,5200733,1,0
160307,223.05,223.57,220.16,220.65,5669244,0,0
150307,224.15,225.14,222.19,223.32,3947143,0,1
140307,221.84,224.55,219.72,224.22,8021553,1,0
130307,225.28,226.19,221.64,221.74,6378634,0,1
120307,226.51,227.85,225.78,227.6,3467969,1,0
90307,229.23,229.43,225.28,226.71,4977644,0,0
80307,229.84,232.98,227.28,227.59,5363496,0,0
70307,231.58,231.8,227.37,228.05,6534977,0,1
60307,223.96,229.73,223.91,229,7537169,1,1
50307,218.73,222.97,218.72,220.69,6359581,1,0
20307,222.78,224.57,219.56,219.56,6585824,0,1
10307,221.56,226.44,220.22,224.34,8689893,1,0
280207,225.43,227.06,221.74,224.95,8046584,0,0
270207,227.73,230.13,223.81,224.61,9338828,0,0
260207,236.65,237.86,232.11,232.7,3990296,0,0
230207,238.11,238.71,234.13,235.55,3885580,0,0
220207,239.58,242.36,237.43,238.16,5747347,0,1
210207,235.15,239.58,234.1,238.17,5643426,1,1
200207,234.47,236.61,232.59,236.29,4069032,1,1
160207,231.63,235.31,231.26,235.2,6179453,1,0
150207,233.23,233.3,230.59,230.97,4049689,0,1
140207,230.23,234.8,229.84,233.2,5700073,1,0
130207,229.81,231.62,228.86,229.78,4147588,0,0
120207,230.57,231.43,227.74,229.37,5754929,0,0
90207,236.06,236.58,230.98,231.18,4859692,0,1
80207,234.26,237.11,232.81,235.75,4077666,1,0
70207,237.15,237.41,234.62,235.24,4121831,0,1
60207,234.28,236.89,233.86,235.98,5326388,1,0
50207,238.99,239.24,233.33,233.81,7210422,0,0
20207,241.55,242.74,239.14,240.99,6312533,0,0
10207,253.25,253.26,241.01,241.12,15669297,0,1
310107,248.49,252.75,248,251,12402800,1,1
300107,247.25,249.25,245.86,247.41,4185385,1,0
290107,249.25,249.62,245.5,246.48,4778995,0,1
260107,245.71,249.2,243.76,248.17,5497075,1,0
250107,250.75,252.5,243.07,244.29,6444810,0,1
240107,242.46,250.02,241.89,249.78,6074077,1,0
230107,240.64,242.62,238.88,239.76,4686879,0,0
220107,246.5,246.57,239.49,240.66,5407309,0,1
190107,244.23,245.63,243.61,245.12,4979438,1,0
180107,247.51,248.49,243.96,244.16,5932894,0,0
